,title,summary,image,url,uploaded
0,Benjamin Todd on the core of effective altruism and how to argue for it (80k team chat #3),"Today’s episode is the latest conversation between Arden Koehler, and our CEO, Ben Todd.<br><br> 

Ben’s been thinking a lot about effective altruism recently, including what it really is, how it's framed, and how people misunderstand it.<br><br>  

We recently released an article on <b><a href=""https://80000hours.org/2020/08/misconceptions-effective-altruism/"">misconceptions about effective altruism</a></b> – based on Will MacAskill’s recent paper <em><b><a href=""https://80k.link/DEA"">The Definition of Effective Altruism</a></b></em> – and this episode can act as a companion piece.<br><br> 

<a href=""https://80000hours.org/podcast/episodes/ben-todd-on-the-core-of-effective-altruism/?utm_campaign=podcast__ben-todd&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>Links to learn more, summary and full transcript.</b></a><br><br>

Arden and Ben cover a bunch of topics related to effective altruism:<br><br> 

• How it isn’t just about donating money to fight poverty<br> 
• Whether it includes a moral obligation to give<br> 
• The rigorous argument for its importance<br> 
• Objections to that argument<br> 
• How to talk about effective altruism for people who aren't already familiar with it<br><br> 

Given that we’re in the same office, it’s relatively easy to record conversations between two 80k team members — so if you enjoy these types of bonus episodes, let us know at podcast@80000hours.org, and we might make them a more regular feature.<br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app. Or read the linked transcript.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/e85892a2-fd1d-11ea-b69a-12230287f561/images/main.jpeg?1601340448869,http://feedproxy.google.com/~r/80000HoursPodcast/~5/WnRgWiRs3XM/ben-todd-on-the-core-of-effective-altruism-80k-team-chat-mp3.mp3,False
1,Ideas for high impact careers beyond our priority paths (Article),"<p>Today’s release is the latest in our series of audio versions of our articles.<br><br> 

In this one, we go through some more career options beyond our priority paths that seem promising to us for positively influencing the long-term future.<br><br> 

Some of these are likely to be written up as priority paths in the future, or wrapped into existing ones, but we haven’t written full profiles for them yet—for example policy careers outside AI and biosecurity policy that seem promising from a longtermist perspective.<br><br> 

Others, like information security, we think might be as promising for many people as our priority paths, but because we haven’t investigated them much we’re still unsure.<br><br> 

Still others seem like they’ll typically be less impactful than our priority paths for people who can succeed equally in either, but still seem high-impact to us and like they could be top options for a substantial number of people, depending on personal fit—for example research management.<br><br> 

Finally some—like becoming a public intellectual—clearly have the potential for a lot of impact, but we can’t recommend them widely because they don’t have the capacity to absorb a large number of people, are particularly risky, or both.<br><br> 

If you want to check out the links in today’s article, you can find those <a href=""https://80000hours.org/2020/08/ideas-for-high-impact-careers-beyond-our-priority-paths/?utm_campaign=podcast__other-problems&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>here.</b></a><br><br> 

Our <a href=""http://80000hours.org/survey/?utm_campaign=podcast__other-paths&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>annual user survey</b></a> is also now open for submissions.<br><br> 

Once a year for two weeks we ask all of you, our podcast listeners, article readers, advice receivers, and so on, so let us know how we've helped or hurt you.<br><br> 

80,000 Hours now offers many different services, and your feedback helps us figure out which programs to keep, which to cut, and which to expand.<br><br> 

This year we have a new section covering the podcast, asking what kinds of episodes you liked the most and want to see more of, what extra resources you use, and some other questions too.<br><br> 

We're always especially interested to hear ways that our work has influenced what you plan to do with your life or career, whether that impact was positive, neutral, or negative.<br><br> 

That might be a different focus in your existing job, or a decision to study something different or look for a new job. Alternatively, maybe you're now planning to volunteer somewhere, or donate more, or donate to a different organisation.<br><br> 

Your responses to the survey will be carefully read as part of our upcoming annual review, and we'll use them to help decide what 80,000 Hours should do differently next year.<br><br> 

So please do take a moment to fill out the user survey before it closes&nbsp;on Sunday (13th of September).<br><br> 

You can find it at <a href=""http://80000hours.org/survey/?utm_campaign=podcast__other-paths&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>80000hours.org/survey</b></a><br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app. Or read the linked transcript.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em></p>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/f6f5e4e2-eed4-11ea-b33d-0ef24749efad/images/main.jpg?1601340448965,http://feedproxy.google.com/~r/80000HoursPodcast/~5/WDNorQZUNFQ/ideas-for-high-impact-careers-beyond-our-priority-paths-article-mp3.mp3,False
2,"Benjamin Todd on varieties of longtermism and things 80,000 Hours might be getting wrong (80k team chat #2)","Today’s bonus episode is a conversation between Arden Koehler, and our CEO, Ben Todd.<br><br> 

Ben’s been doing a bunch of research recently, and we thought it’d be interesting to hear about how he’s currently thinking about a couple of different topics – including different types of longtermism, and things 80,000 Hours might be getting wrong.<br><br>  

<a href=""https://80000hours.org/podcast/episodes/ben-todd-on-varieties-of-longtermism/?utm_campaign=podcast__guest-name&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>Links to learn more, summary and full transcript.</b></a><br><br>

This is very off-the-cut compared to our regular episodes, and just 54 minutes long.<br><br> 

In the first half, Arden and Ben talk about varieties of longtermism:<br><br> 

• Patient longtermism<br> 
• Broad urgent longtermism<br> 
• Targeted urgent longtermism focused on existential risks<br> 
• Targeted urgent longtermism focused on other trajectory changes<br> 
• And their distinctive implications for people trying to do good with their careers.<br><br>  

In the second half, they move on to:<br><br> 

• How to trade-off transferable versus specialist career capital<br> 
• How much weight to put on personal fit<br> 
• Whether we might be highlighting the wrong problems and career paths.<br><br> 

Given that we’re in the same office, it’s relatively easy to record conversations between two 80k team members — so if you enjoy these types of bonus episodes, let us know at podcast@80000hours.org, and we might make them a more regular feature.<br><br> 

Our <a href=""http://80000hours.org/survey/?utm_campaign=podcast__bt-1&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>annual user survey</b></a> is also now open for submissions.<br><br> 

Once a year for two weeks we ask all of you, our podcast listeners, article readers, advice receivers, and so on, so let us know how we've helped or hurt you.<br><br> 

80,000 Hours now offers many different services, and your feedback helps us figure out which programs to keep, which to cut, and which to expand.<br><br> 

This year we have a new section covering the podcast, asking what kinds of episodes you liked the most and want to see more of, what extra resources you use, and some other questions too.<br><br> 

We're always especially interested to hear ways that our work has influenced what you plan to do with your life or career, whether that impact was positive, neutral, or negative.<br><br> 

That might be a different focus in your existing job, or a decision to study something different or look for a new job. Alternatively, maybe you're now planning to volunteer somewhere, or donate more, or donate to a different organisation.<br><br> 

Your responses to the survey will be carefully read as part of our upcoming annual review, and we'll use them to help decide what 80,000 Hours should do differently next year.<br><br> 

So please do take a moment to fill out the user survey.<br><br> 

You can find it at <a href=""http://80000hours.org/survey/?utm_campaign=podcast__bt-1&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>80000hours.org/survey</b></a><br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app. Or read the linked transcript.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/d36b2f70-ec66-11ea-a788-0e9351e7db55/images/main.jpg?1601340449062,http://feedproxy.google.com/~r/80000HoursPodcast/~5/ELm7TFXA3-U/ben-todd-on-varieties-of-longtermism-and-things-80000-hours-might-be-getting-wrong-mp3.mp3,False
3,"Global issues beyond 80,000 Hours’ current priorities (Article)","Today’s release is the latest in our series of audio versions of our articles.<br><br> 

In this one, we go through 30 global issues beyond the ones we usually prioritize most highly in our work, and that you might consider focusing your career on tackling.<br><br> 

Although we spend the majority of our time at 80,000 Hours on our highest priority problem areas, and we recommend working on them to many of our readers, these are just the most promising issues among those we’ve spent time investigating. There are many other global issues that we haven’t properly investigated, and which might be very promising for more people to work on.<br><br> 

In fact, we think working on some of the issues in this article could be as high-impact for some people as working on our priority problem areas — though we haven’t looked into them enough to be confident.<br><br> 

If you want to check out the links in today’s article, you can find those <a href=""https://80000hours.org/2020/08/other-problems/?utm_campaign=podcast__other-problems&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>here.</b></a><br><br> 

Our <a href=""http://80000hours.org/survey/?utm_campaign=podcast__other-problems&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>annual user survey</b></a> is also now open for submissions.<br><br> 

Once a year for two weeks we ask all of you, our podcast listeners, article readers, advice receivers, and so on, so let us know how we've helped or hurt you.<br><br> 

80,000 Hours now offers many different services, and your feedback helps us figure out which programs to keep, which to cut, and which to expand.<br><br> 

This year we have a new section covering the podcast, asking what kinds of episodes you liked the most and want to see more of, what extra resources you use, and some other questions too.<br><br> 

We're always especially interested to hear ways that our work has influenced what you plan to do with your life or career, whether that impact was positive, neutral, or negative.<br><br> 

That might be a different focus in your existing job, or a decision to study something different or look for a new job. Alternatively, maybe you're now planning to volunteer somewhere, or donate more, or donate to a different organisation.<br><br> 

Your responses to the survey will be carefully read as part of our upcoming annual review, and we'll use them to help decide what 80,000 Hours should do differently next year.<br><br> 

So please do take a moment to fill out the user survey.<br><br> 

You can find it at <a href=""http://80000hours.org/survey/?utm_campaign=podcast__other-problems&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>80000hours.org/survey</b></a><br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app. Or read the linked transcript.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/1ad3f726-e941-11ea-85ac-12037350e273/images/main.jpg?1601340449151,http://feedproxy.google.com/~r/80000HoursPodcast/~5/Bn_9eLGOiUY/other-problems-article-mp3.mp3,False
4,"#85 - Mark Lynas on climate change, societal collapse & nuclear energy","A golf-ball sized lump of uranium can deliver more than enough power to cover all of your lifetime energy use. To get the same energy from coal, you’d need 3,200 tonnes of black rock — a mass equivalent to 800 adult elephants, which would produce more than 11,000 tonnes of CO2. That’s about 11,000 tonnes more than the uranium.<br><br>  

Many people aren’t comfortable with the danger posed by nuclear power. But given the climatic stakes, it’s worth asking: Just how much more dangerous is it compared to fossil fuels?<br><br> 

According to today’s guest, Mark Lynas — author of <em><b><a href=""https://80k.link/OFW"">Six Degrees: Our Future on a Hotter Planet</a></b></em> (winner of the prestigious Royal Society Prizes for Science Books) and <em><b><a href=""https://80k.link/N20"">Nuclear 2.0</a></b></em>&nbsp;— it’s actually much, much <i>safer</i>.<br><br> 

<a href=""https://80k.link/MLPod""><b>Links to learn more, summary and full transcript.</b></a><br><br>  

Climatologists James Hansen and Pushker Kharecha calculated that the use of nuclear power between 1971 and 2009 avoided the premature deaths of 1.84 million people by avoiding air pollution from burning coal.<br><br>  

What about radiation or nuclear disasters? According to Our World In Data, in generating a given amount of electricity, nuclear, wind, and solar all cause about the same number of deaths — and it's a tiny number.<br><br> 

So what’s going on? Why isn’t everyone demanding a massive scale-up of nuclear energy to save lives and stop climate change? Mark and many other activists believe that unchecked climate change will result in the collapse of human civilization, so the stakes could not be higher.<br><br> 


Mark says that many environmentalists — including him — simply grew up with anti-nuclear attitudes all around them (possibly stemming from a conflation of nuclear weapons and nuclear energy) and haven't thought to question them.<br><br>  

But he thinks that once you believe in the climate emergency, you have to rethink your opposition to nuclear energy.<br><br>  

At 80,000 Hours we haven’t analysed the merits and flaws of the case for nuclear energy — especially compared to wind and solar paired with gas, hydro, or battery power to handle intermittency — but Mark is convinced.<br><br>  

He says it comes down to physics: Nuclear power is just so much denser.<br><br> 

We need to find an energy source that provides carbon-free power to ~10 billion people, and we need to do it while humanity is doubling or tripling (or more) its energy demand.<br><br>  

How do you do that without destroying the world's ecology? Mark thinks that nuclear is the only way.<br><br>  

<a href=""https://80k.link/MLPod""><b>Read a more in-depth version of the case for nuclear energy in the full blog post.</b></a><br><br> 

For Mark, the only argument against nuclear power is a political one -- that people won't want or accept it.<br><br> 

He says that he knows people in all kinds of mainstream environmental groups — such as Greenpeace — who agree that nuclear must be a vital part of any plan to solve climate change. But, because they think they'll be ostracized if they speak up, they keep their mouths shut.<br><br> 

Mark thinks this willingness to indulge beliefs that contradict scientific evidence stands in the way of actually fully addressing climate change, and so he’s helping to build a movement of folks who are out and proud about their support for nuclear energy.<br><br> 

This is only one topic of many in today’s interview. Arden, Rob, and Mark also discuss:<br><br> 

• At what degrees of warming does societal collapse become likely<br> 
• Whether climate change could lead to human extinction<br> 
• What environmentalists are getting wrong about climate change<br>  
• And much more.<br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app. Or read the linked transcript.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/dfec50fc-e30c-11ea-a7df-0e0ca07a19b3/images/main.jpg?1601340449293,http://feedproxy.google.com/~r/80000HoursPodcast/~5/Vs7jCSzAXMw/85--mark-lynas-mp3.mp3,False
5,#84 - Shruti Rajagopalan on what India did to stop COVID-19 and how well it worked,"When COVID-19 struck the US, everyone was told that hand sanitizer needed to be saved for healthcare professionals, so they should just wash their hands instead. But in India, many homes lack reliable piped water, so they had to do the opposite: distribute hand sanitizer as widely as possible.<br><br>

American advocates for banning single-use plastic straws might be outraged at the widespread adoption of single-use hand sanitizer sachets in India. But the US and India are very different places, and it might be the only way out when you're facing a pandemic without running water.<br><br>

According to today’s guest, Shruti Rajagopalan, Senior Research Fellow at the <i>Mercatus Center</i> at George Mason University, that's typical and context is key to policy-making. This prompted Shruti to propose a set of <a href=""https://80k.link/srpaper"">policy responses</a> designed for India specifically back in April.<br><br>

Unfortunately she thinks it's surprisingly hard to know what one should and shouldn't imitate from overseas.<br><br>

<a href=""https://80k.link/sr""><b>Links to learn more, summary and full transcript.</b></a><br><br>

For instance, some places in India installed shared handwashing stations in bus stops and train stations, which is something no developed country would advise. But in India, you can't necessarily wash your hands at home — so shared faucets might be the lesser of two evils. (Though note scientists have downgraded the importance of hand hygiene lately.)<br><br>

Stay-at-home orders offer a more serious example. Developing countries find themselves in a serious bind that rich countries do not.<br><br>
 
With nearly no slack in healthcare capacity, India lacks equipment to treat even a small number of COVID-19 patients. That suggests strict controls on movement and economic activity might be necessary to control the pandemic.<br><br>
 
But many people in India and elsewhere can't afford to shelter in place for weeks, let alone months. And governments in poorer countries may not be able to afford to send everyone money — even where they have the infrastructure to do so fast enough.<br><br>
 
India ultimately did impose strict lockdowns, lasting almost 70 days, but the human toll has been larger than in rich countries, with vast numbers of migrant workers stranded far from home with limited if any income support.<br><br>

There were no trains or buses, and the government made no provision to deal with the situation. Unable to afford rent where they were, many people had to walk hundreds of kilometers to reach home, carrying children and belongings with them. <br><br>
 
But in some other ways the context of developing countries is more promising. In the US many people melted down when asked to wear facemasks. But in South Asia, people just wore them.<br><br>
 
Shruti isn’t sure whether that's because of existing challenges with high pollution, past experiences with pandemics, or because intergenerational living makes the wellbeing of others more salient, but the end result is that masks weren’t politicised in the way they were in the US.<br><br>
 
In addition, despite the suffering caused by India's policy response to COVID-19, public support for the measures and the government remains high — and India's population is much younger and so less affected by the virus.<br><br>
 
In this episode, Howie and Shruti explore the unique policy challenges facing India in its battle with COVID-19, what they've tried to do, and how it has gone.<br><br>

They also cover:<br><br>

• What an economist can bring to the table during a pandemic<br>
• The mystery of India’s surprisingly low mortality rate<br>
• Policies that should be implemented today<br>
• What makes a good constitution<br><br>

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/3b705026-dda5-11ea-afb8-0e4d332dadc1/images/main.jpg?1601340449409,http://feedproxy.google.com/~r/80000HoursPodcast/~5/Rb-VIPpzxmQ/84--shruti-rajagopalan-on-indias-response-to-covid-19.mp3,False
6,#83 - Prof Jennifer Doleac on preventing crime without police and prisons,"The killing of George Floyd has prompted a great deal of debate over whether the US should reduce the size of its police departments. The research literature suggests that the presence of police officers does reduce crime, though they're expensive and as is increasingly recognised, impose substantial harms on the populations they are meant to be protecting, especially communities of colour.<br><br> 

So maybe we ought to shift our focus to effective but unconventional approaches to crime prevention, approaches that don't require police or prisons and the human toll they bring with them.<br><br> 

Today’s guest, Jennifer Doleac — Associate Professor of Economics at Texas A&amp;M University, and Director of the <i>Justice Tech Lab</i> — is an expert on empirical research into policing, law and incarceration. In this extensive interview, she highlights three alternative ways to effectively prevent crime: better street lighting, cognitive behavioral therapy, and lead reduction.<br><br> 

One of Jennifer’s papers used switches into and out of daylight saving time as a 'natural experiment' to measure the effect of light levels on crime. One day the sun sets at 5pm; the next day it sets at 6pm. When that evening hour is dark instead of light, robberies during it roughly double.<br><br> 

<a href=""https://80k.link/jdpod""><b>Links to sources for the claims in these show notes, other resources to learn more, and a full transcript.</b></a><br><br> 

The idea here is that if you try to rob someone in broad daylight, they might see you coming, and witnesses might later be able to identify you. You're just more likely to get caught.<br><br> 

You might think: ""Well, people will just commit crime in the morning instead"". But it looks like criminals aren’t early risers, and that doesn’t happen.<br><br> 

On her unusually rigorous podcast <a href=""https://80k.link/pcac"">Probable Causation</a>, Jennifer spoke to one of the authors of a related study, in which very bright streetlights were randomly added to some public housing complexes but not others. They found the lights reduced outdoor night-time crime by 36%, at little cost. <br><br> 

The next best thing to sun-light is human-light, so just installing more streetlights might be one of the easiest ways to cut crime, without having to hassle or punish anyone.<br><br> 

The second approach is cognitive behavioral therapy (CBT), in which you're taught to slow down your decision-making, and think through your assumptions before acting.<br><br> 

There was a randomised controlled trial done in schools, as well as juvenile detention facilities in Chicago, where the kids assigned to get CBT were followed over time and compared with those who were not assigned to receive CBT. They found the CBT course reduced rearrest rates by a third, and lowered the likelihood of a child returning to a juvenile detention facility by 20%.<br><br> 

Jennifer says that the program isn’t that expensive, and the benefits are massive. Everyone would probably benefit from being able to talk through their problems but the gains are especially large for people who've grown up with the trauma of violence in their lives.<br><br> 

Finally, Jennifer thinks that lead reduction might be the best buy of all in crime prevention…<br><br> 

<b>Blog post truncated due to length limits. <a href=""https://80k.link/jdpod"">Finish reading the full post here.</a></b><br><br> 

In today’s conversation, Rob and Jennifer also cover, among many other things:<br><br> 

• Misconduct, hiring practices and accountability among US police<br>
• Procedural justice training<br>
• Overrated policy ideas<br>
• Policies to try to reduce racial discrimination<br>
• The effects of DNA databases<br>
• Diversity in economics<br>
• The quality of social science research<br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/732ff4bc-d364-11ea-9f3a-12e29931da63/images/main.jpg?1601340449500,http://feedproxy.google.com/~r/80000HoursPodcast/~5/j-hcD-2S9oE/83---jennifer-doleac-on-unconventional-approaches-to-prevent-crime.mp3,False
7,#82 - Prof James Forman Jr on reducing the cruelty of the US criminal legal system,"No democracy has ever incarcerated as many people as the United States. To get its incarceration rate down to the global average, the US would have to release 3 in 4 people in its prisons today. <br><br> 

The effects on Black Americans have been especially severe — Black people make up 12% of the US population but 33% of its prison population. In the early 2000's when incarceration reached its peak, the US government estimated that 32% of Black boys would go to prison at some point in their lives, 5.5 times the figure for whites. <br><br>

Contrary to popular understanding, nonviolent drug offenders make up <a href=""https://www.prisonpolicy.org/reports/pie2020.html""><b>less than a fifth</b></a> of the incarcerated population. The only way to get its incarceration rate near the global average will be to shorten prison sentences for so-called 'violent criminals' — a politically toxic idea. But could we change that?<br><br> 

According to today’s guest, Professor James Forman Jr — a former public defender in Washington DC, Pulitzer Prize-winning author of <em><b><a href=""https://80k.link/JFJ"">Locking Up Our Own: Crime and Punishment in Black America</a></b></em>, and now a professor at Yale Law School — there are two things we have to do to make that happen.<br><br> 

<a href=""https://80k.link/JFJpod""><b>Links to learn more, summary and full transcript.</b></a><br><br> 

First, he thinks we should lose the term 'violent offender', and maybe even 'violent crime'. When you say 'violent crime', most people immediately think of murder and rape — but they're only a small fraction of the crimes that the law deems as violent.<br><br> 

In reality, the crime that puts the most people in prison in the US is robbery. And the law says that robbery is a violent crime whether a weapon is involved or not. By moving away from the catch-all category of 'violent criminals' we can judge the risk posed by individual people more sensibly.<br><br>  

Second, he thinks we should embrace the restorative justice movement. Instead of asking ""What was the law? Who broke it? What should the punishment be"", restorative justice asks ""Who was harmed? Who harmed them? And what can we as a society, including the person who committed the harm, do to try to remedy that harm?""<br><br> 

Instead of being narrowly focused on how many years people should spend in prison as retribution, it starts a different conversation.<br><br>  

You might think this apparently softer approach would be unsatisfying to victims of crime.  But James has discovered that a lot of victims of crime find that the current system doesn't help them in any meaningful way. What they primarily want to know is: why did this happen to me?<br><br>  

The best way to find that out is to actually talk to the person who harmed them, and in doing so gain a better understanding of the underlying factors behind the crime. The restorative justice approach facilitates these conversations in a way the current system doesn't allow, and can include restitution, apologies, and face-to-face reconciliation.<br><br> 

That’s just one topic of many covered in today’s episode, with much of the conversation focusing on Professor Forman’s 2018 book <em>Locking Up Our Own</em> — an examination of the historical roots of contemporary criminal justice practices in the US, and his experience setting up a charter school for at-risk youth in DC.<br><br> 

Rob and James also discuss:<br><br> 

• How racism shaped the US criminal legal system<br> 
• How Black America viewed policing through the 20th century<br> 
• How class divisions fostered a 'tough on crime' approach<br> 
• How you can have a positive impact as a public prosecutor<br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app. Or read the linked transcript.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/b7f03eb0-d042-11ea-8e60-0ef97b41ad5b/images/main.jpg?1601340449652,http://feedproxy.google.com/~r/80000HoursPodcast/~5/rKZQ6THTFEo/82---james-forman-jr-on-the-cruelty-of-the-us-criminal-legal-system.mp3,False
8,#81 - Ben Garfinkel on scrutinising classic AI risk arguments,"<p>80,000 Hours, along with many other members of the effective altruism movement, has argued that helping to positively shape the development of artificial intelligence may be one of the best ways to have a lasting, positive impact on the long-term future. Millions of dollars in philanthropic spending, as well as lots of career changes, have been motivated by these arguments.<br><br> 

Today’s guest, Ben Garfinkel, Research Fellow at Oxford’s Future of Humanity Institute, supports the continued expansion of AI safety as a field and believes working on AI is among the very best ways to have a positive impact on the long-term future. But he also believes the classic AI risk arguments have been subject to insufficient scrutiny given this level of investment.<br><br> 

In particular, the case for working on AI if you care about the long-term future has often been made on the basis of concern about AI accidents; it’s actually quite difficult to design systems that you can feel confident will behave the way you want them to in all circumstances.<br><br> 

<a href=""https://80k.link/BostromTT"">Nick Bostrom</a> wrote the most fleshed out version of the argument in his book, Superintelligence. But Ben reminds us that, apart from Bostrom’s book and essays by Eliezer Yudkowsky, there's very little existing writing on existential accidents.<br><br> 

<a href=""https://80k.link/BGpod""><b>Links to learn more, summary and full transcript.</b></a><br><br>

There have also been very few skeptical experts that have actually sat down and fully engaged with it, writing down point by point where they disagree or where they think the mistakes are. This means that Ben has probably scrutinised classic AI risk arguments as carefully as almost anyone else in the world.<br><br> 

He thinks that most of the arguments for existential accidents often rely on fuzzy, abstract concepts like optimisation power or general intelligence or goals, and <a href=""https://80k.link/pcm"">toy thought experiments</a>. And he doesn’t think it’s clear we should take these as a strong source of evidence.<br><br> 

Ben’s also concerned that these scenarios often involve massive jumps in the capabilities of a single system, but it's really not clear that we should expect such jumps or find them plausible.

These toy examples also focus on the idea that because human preferences are so nuanced and so hard to state precisely, it should be quite difficult to get a machine that can understand how to obey them.<br><br>  

But Ben points out that it's also the case in machine learning that we can train lots of systems to engage in behaviours that are actually quite nuanced and that we can't specify precisely. If AI systems can recognise faces from images, and fly helicopters, why don’t we think they’ll be able to understand human preferences?<br><br> 

Despite these concerns, Ben is still fairly optimistic about the value of working on AI safety or governance.<br><br>  

He doesn’t think that there are any slam-dunks for improving the future, and so the fact that there are at least plausible pathways for impact by working on AI safety and AI governance, in addition to it still being a very neglected area, puts it head and shoulders above most areas you might choose to work in.<br><br>  

This is the second episode hosted by our Strategy Advisor Howie Lempel, and he and Ben cover, among many other things:<br><br> 

• The threat of AI systems increasing the risk of permanently damaging conflict or collapse<br> 
• The possibility of permanently locking in a positive or negative future<br> 
• Contenders for types of advanced systems<br> 
• What role AI should play in the effective altruism portfolio<br><br> 

<b>Get this episode by subscribing: type 80,000 Hours into your podcasting app. Or read the linked transcript.</b><br><br>


<em>Producer: Keiran Harris.<br>
Audio mastering: Ben Cordell.<br>
Transcriptions: Zakee Ulhaq.</em></p>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/c2242b1a-c1f3-11ea-9bab-0e13d48c95ef/images/main.jpg?1601340449742,http://feedproxy.google.com/~r/80000HoursPodcast/~5/qRJ36Chpibs/81---ben-garfinkel-on-scrutinising-classic-ai-risk-arguments-mp3.mp3,False
9,Advice on how to read our advice (Article),"<p><i>This is the fourth release in our new series of audio articles.&nbsp;If you want to read the original article or check out the links within it, you can find them&nbsp;<a href=""https://80000hours.org/articles/advice-on-how-to-read-our-advice/?utm_campaign=podcast__advice-on-our-advice-audio&amp;utm_source=80000+Hours+Podcast&amp;utm_medium=podcast""><b>here</b></a>. </i><br><br>

""We’ve found that readers sometimes interpret or apply our advice in ways we didn’t anticipate and wouldn’t exactly recommend. That’s hard to avoid when you’re writing for a range of people with different personalities and initial views. <br><br>

To help get on the same page, here’s some advice about our advice, for those about to launch into reading our site. <br><br>

We want our writing to inform people’s views, but only in proportion to the likelihood that we’re actually right. So we need to make sure you have a balanced perspective on how compelling the evidence is for the different claims we make on the site, and how much weight to put on our advice in your situation. <br><br>

This piece includes a list of points to bear in mind when reading our site, and some thoughts on how to avoid the communication problems we face..."" <br><br>

As the title suggests, this was written with our web site content in mind, but plenty of it applies to the careers sections of the podcast too — as well as our bonus episodes with members of the 80,000 Hours team, such as Arden and Rob’s episode on demandingness, work-life balance and injustice, which aired on February 25th of this year. <br><br>

And if you have feedback on these, positive or negative, it’d be great if you could email us at podcast@80000hours.org.</p>",https://feeds.backtracks.fm/feeds/series/d8f05142-2a38-11e9-bd0b-0ebe27f14992/episodes/b77b1f98-ba37-11ea-a113-0e5125d2c025/images/main.png?1601340449830,http://feedproxy.google.com/~r/80000HoursPodcast/~5/1dxWzxscnBA/how-to-read-our-advice-jun-26-mp3.mp3,False
