,title,summary,image,url,uploaded
0,Audrey Tang on the Technology of Democracy,"<p>Audrey Tang began reading classical works like the <em>Shūjīng</em> and <em>Tao Te Ching</em> at the age of 5 and learned the programming language Perl at the age of 12. Now, the autodidact and self-described “conservative anarchist” is a software engineer and the first non-binary digital minister of Taiwan. Their work focuses on how social and digital technologies can foster empathy, democracy, and human progress.</p> <p>Audrey joined Tyler to discuss how Taiwan approached regulating Chinese tech companies, the inherent extraterritoriality of data norms, how <em>Finnegans Wake</em> has influenced their approach to technology, the benefits of radical transparency in communication, why they appreciate the laziness of Perl, using “humor over rumor” to combat online disinformation, why Taiwan views democracy as a set of social technologies, how their politics have been influenced by Taiwan’s indigenous communities and their oral culture, what Chinese literature teaches about change, how they view Confucianism as a Daoist, how they would improve Taiwanese education, why they view mistakes in the American experiment as inevitable – but not insurmountable, the role of civic tech in Taiwan’s pandemic response, the most important remnants of Japanese influence remaining in Taiwan, why they love Magic: The Gathering, the transculturalism that makes Taiwan particularly open and accepting of LGBT lifestyles, growing up with parents who were journalists, how being transgender makes them more empathetic, the ways American values still underpin the internet, what they learned from previous Occupy movements, why translation, rotation, and scaling are important skills for becoming a better thinker, and more.</p> <p><span style=""font-weight: 400;"">Follow us on</span> <a href= ""https://twitter.com/cowenconvos""><span style= ""font-weight: 400;"">Twitter</span></a> <span style= ""font-weight: 400;"">and</span> <a href= ""https://www.instagram.com/cowenconvos/""><span style= ""font-weight: 400;"">IG</span></a><span style=""font-weight: 400;"">: @cowenconvos </span></p> <p><span style=""font-weight: 400;"">Email:</span> <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span style= ""font-weight: 400;"">cowenconvos@mercatus.gmu.edu</span></a></p> <p><span style=""font-weight: 400;"">Follow <a href= ""https://twitter.com/audreyt"">Audrey</a> on Twitter</span></p> <p><span style=""font-weight: 400;"">Follow</span> <a href= ""https://twitter.com/tylercowen""><span style= ""font-weight: 400;"">Tyler</span></a> <span style= ""font-weight: 400;"">on Twitter</span></p> <p><a href=""https://facebook.com/cowenconvos""><span style= ""font-weight: 400;"">Facebook</span></a></p> <p><a href=""https://mercatus.org/newsletters""><span style= ""font-weight: 400;"">Newsletter</span></a></p>",https://ssl-static.libsyn.com/p/assets/d/1/6/f/d16f58f3f69e86f4/CWT-112-AudreyTang-Libsyn.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-112-AudreyTang-podcast-v1.mp3?dest-id=850607,False
1,"Alex Ross on Music, Culture, and Criticism","<p>To Alex Ross, good music critics must be well-rounded and have command of neighboring cultural areas. “When you're writing about opera, you're writing about literature as well as music, you're writing about staging, theater ideas, as well as music,” says the veteran music journalist and staff writer for <em>The New Yorker</em>. His most recent book, <a href= ""https://www.amazon.com/dp/0374285934/?ots=1&slotNum=2&imprToken=dcba4bba-229b-9a4a-857&tag=thneyo0f-20""> <em>Wagnerism: Art and Politics in the Shadow of Music</em></a>, explores the complicated legacy of Wagner, as well as how music shapes and is shaped by its cultural context.</p> <p>Alex joined Tyler to discuss the book, what gets lost in the training of modern opera singers, the effect of recording technology on orchestras, why he doesn’t have “guilty pleasures,” how we should approach Wagner today, the irony behind most uses of “Ride of the Valkyries” in cinema, his favorite Orson Welles film, his predictions for concert attendance after COVID-19, why artistic life in Europe will likely recover faster than in America, Rothko’s influence on composer Morton Feldman, his contender for the greatest pop album ever made, how his Harvard dissertation on James Joyce prepared him for a career writing about music, and more.</p> <p><span style=""font-weight: 400;"">Follow us on</span> <a href= ""https://twitter.com/cowenconvos""><span style= ""font-weight: 400;"">Twitter</span></a> <span style= ""font-weight: 400;"">and</span> <a href= ""https://www.instagram.com/cowenconvos/""><span style= ""font-weight: 400;"">IG</span></a><span style=""font-weight: 400;"">: @cowenconvos </span></p> <p><span style=""font-weight: 400;"">Email:</span> <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span style= ""font-weight: 400;"">cowenconvos@mercatus.gmu.edu</span></a></p> <p><span style=""font-weight: 400;"">Follow <a href= ""https://twitter.com/alexrossmusic?lang=en"">Alex</a> on Twitter</span></p> <p><span style=""font-weight: 400;"">Follow</span> <a href= ""https://twitter.com/tylercowen""><span style= ""font-weight: 400;"">Tyler</span></a> <span style= ""font-weight: 400;"">on Twitter</span></p> <p><a href=""https://facebook.com/cowenconvos""><span style= ""font-weight: 400;"">Facebook</span></a></p> <p><a href=""https://mercatus.org/newsletters""><span style= ""font-weight: 400;"">Newsletter</span></a></p>",https://ssl-static.libsyn.com/p/assets/4/6/d/c/46dc25d12f7e8932/CWT-108-AlexRoss-Libsyn.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-108-AlexRoss-v5.mp3?dest-id=850607,False
2,Matt Yglesias on Why the Population is Too Damn Low,"<p>Matt Yglesias joined Tyler for a wide-ranging conversation on his vision for a bigger, less politically polarized America outlined in his new book <a href= ""https://www.penguinrandomhouse.com/books/636499/one-billion-americans-by-matthew-yglesias/""> <em>One Billion Americans: The Case for Thinking Bigger</em></a>.</p> <p>They discussed why it’s easier to grow Tokyo than New York City, the governance issues of increasing urban populations, what Tyler got right about pro-immigration arguments, how to respond to declining fertility rates, why he’d be happy to see more people going to church (even though he’s not religious), why liberals and conservatives should take marriage incentive programs more seriously, what larger families would mean for feminism, why people should read Robert Nozick, whether the YIMBY movement will be weakened by COVID-19, how New York City will bounce back, why he’s long on Minneapolis, how to address constitutional ruptures, how to attract more competent people to state and local governments, what he’s learned growing up in a family full of economists, his mother’s wisdom about visual design and more.</p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p2""><span class=""s2"">Email: <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span class= ""s3"">cowenconvos@mercatus.gmu.edu</span></a></span></p> <p class=""p1"">Follow <a href= ""https://twitter.com/mattyglesias"">Matt</a> on Twitter</p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/d/4/1/a/d41a565ec6da8989/CWT-107-Yglesias-libsyn.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-107-MattYglesias-v2.mp3?dest-id=850607,False
3,"Jason Furman on Productivity, Competition, and Growth","<p><em>Note: This conversation was recorded in January 2020.</em></p> <p>Tyler credits Jason Furman’s intellectual breadth, real-world experience, and emphasis on policy for making him the best economist in the world. Furman, despite not initially being interested in public policy, ultimately served as the chair of the Council of Economic Advisors under President Obama thanks to a call from Joe Stiglitz while still in grad school. His perspective is as idiosyncratic as his career trajectory, seeing the world of economic policy as a series of complex tradeoffs rather than something reducible to oversimplified political slogans.</p> <p>Jason joined Tyler for a wide-ranging conversation on how monopolies affect investment patterns, his top three recommendations to improve American productivity, why he’s skeptical of place-based development policies, what some pro-immigration arguments get wrong, why he’s more concerned about companies like Facebook and Google than he is Walmart and Amazon, the merits of a human rights approach to privacy, whether the EU treats tech companies fairly, having Matt Damon as a college roommate, the future of fintech, his highest objective when teaching economics, what he learned from coauthoring a paper with someone who disagrees with him, why he’s a prolific Goodreads reviewer, and more.</p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p2""><span class=""s2"">Email: <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span class= ""s3"">cowenconvos@mercatus.gmu.edu</span></a></span></p> <p class=""p1"">Follow <a href= ""https://twitter.com/jasonfurman"">Jason</a> on Twitter</p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/8/d/7/3/8d7377ea68b119cd/CWT-90-Furman-libsyn-v2.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-090-JasonFurman-podcast-v1.mp3?dest-id=850607,False
4,"Nicholas Bloom on Management, Productivity, and Scientific Progress","<p>What might the electrification of factories teach us about how quickly we’ll adapt to remote work? What gives American companies an edge over their competitors on the international stage? What value do management consultants really provide? Stanford professor Nick Bloom’s research studies how management practices, productivity techniques, and uncertainty shape outcomes across companies and countries.</p> <p>He joined Tyler for a conversation about which areas of science are making progress, the factors that have made research more expensive, why government should invest more in R&D, how lean management transformed manufacturing, how India’s congested legal system inhibits economic development, the effects of technology on Scottish football hooliganism, why firms thrive in China, how weak legal systems incentivize nepotism, why he’s not worried about the effects of remote work on American productivity (in the short-term), the drawbacks of elite graduate programs, how his first “academic love” shapes his work today, the benefits of working with co-authors, why he prefers periodicals and podcasts to reading books, and more.</p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p2""><span class=""s2"">Email: <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span class= ""s3"">cowenconvos@mercatus.gmu.edu</span></a></span></p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/a/1/d/0/a1d0ddd13b7e99c1/CWT-106-Bloom-libsyn-v2.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-106-NicholasBloom-podcast-v1.mp3?dest-id=850607,False
5,Nathan Nunn on the Paths to Development,"<p>Nathan Nunn’s work history includes automotive stores, a freight company, a paint factory, a ski hill, photography, book publishing, private tutoring, and more. Having grown up in a lower-income Canadian family, he recognizes the importance of having multiple pathways to climb the socioeconomic ladder. Now, as a development economist at Harvard, his research investigates how things like history, culture and contract enforcement shape the development paths of nations.</p> <p>Nathan joined Tyler for a conversation about which African countries a theory of persistence would lead him to bet on, why so many Africans live in harder to settle areas, his predictions for the effects of Chinese development on East Africa, why genetic distance is a strong predictor of bilateral income differences and trade, the pleasant surprises of visiting the Democratic Republic of Congo, the role of the Catholic Church in the development of the West, why Canadian football is underrated, the unique commutes of Ottawans, the lack of Canadian brands, what’s missing from most economic graduate programs, the benefits of studying economics outside of the United States, how the plow shaped gender roles in the societies that used it, the cultural values behind South Korea’s success, and more.</p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p2""><span class=""s2"">Email: <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span class= ""s3"">cowenconvos@mercatus.gmu.edu</span></a></span></p> <p class=""p1"">Follow <a href= ""https://twitter.com/DrNathanNunn"">Nathan</a> on Twitter</p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/e/1/1/b/e11b24b54a58bee8/CWT-105-Nunn-libsyn.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-105-NathanNunn-podcast-v1.mp3?dest-id=850607,False
6,Melissa Dell on the Significance of Persistence,"<p class=""p1"">Explaining 10 percent of something is not usually cause for celebration. And yet when it comes to economic development, where so many factors are in play—institutions, culture, geography, to name a few—it’s impressive indeed. And that’s just what Melissa Dell has accomplished in her pathbreaking work. From the impact of the Mexican Revolution to the different development paths of northern and southern Vietnam, her work exploits what are often accidents of history—whether a Peruvian village was just inside or outside a mine’s catchment area, for example—to explain persistent differences in outcomes. Her work has earned numerous plaudits, including the John Bates Clark Medal earlier this year.</p> <p class=""p1"">On the 100th episode of <em>Conversations with Tyler</em>, Melissa joined Tyler to discuss what’s behind Vietnam’s economic performance, why persistence isn’t predictive, the benefits and drawbacks of state capacity, the differing economic legacies of forced labor in Indonesia and Peru, whether people like her should still be called a Rhodes scholar, if SATs are useful, the joys of long-distance running, why higher temps are bad for economic growth, how her grandmother cultivated her curiosity, her next project looking to unlock huge historical datasets, and more.</p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p2""><span class=""s2"">Email: <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span class= ""s3"">cowenconvos@mercatus.gmu.edu</span></a></span></p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/b/5/2/c/b52c442495b92478/CWT-103-Dell-libsyn-v2.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-103-MelissaDell-podcast-v1.mp3?dest-id=850607,False
7,"Annie Duke on Poker, Probabilities, and How We Make Decisions","<p class=""graf graf--p"">For Annie Duke, the poker table is a perfect laboratory to study human decision-making — including her own. “It really exposes you to the way that you’re thinking,” she says, “how hard it is to avoid decision traps, even when you’re perfectly well aware that those decision traps exist. And how easy it is for like your mind to slip into those traps.” She’s spent a lot of time studying human cognition at the poker table and off it — her best-known academic article is about psycholinguistics and her forthcoming <a href= ""https://www.amazon.com/How-Decide-Simple-Making-Choices/dp/0593084608""> book</a> is titled <em class=""markup--em markup--p-em"">How to Decide: Simple Tools for Making Better Choices</em>.</p> <p class=""graf graf--p"">Annie joined Tyler to explore how payoffs aren’t always monetary, the benefits and costs of probabilistic thinking, the “magical thinking” behind why people buy fire insurance but usually don’t get prenups, the psychology behind betting on shark migrations, how her most famous linguistics paper took on Steven Pinker, how public policy would change if only the top 500 poker players voted, why she wasn’t surprised to lose Celebrity Apprentice to Joan Rivers, whether Trump has a tell, the number one trait of top poker players, and more.</p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p2""><span class=""s2"">Email: <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span class= ""s3"">cowenconvos@mercatus.gmu.edu</span></a></span></p> <p class=""p1"">Follow <a href= ""https://twitter.com/AnnieDuke"">Annie</a> on Twitter</p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/4/6/0/0/4600865680ef0a3a/CWT-102-Duke-libsyn.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-102-AnnieDuke-podcast-v1.mp3?dest-id=850607,False
8,Rachel Harmon on Policing,"<p class=""p1"">Long before becoming a legal scholar focused on police reform, Rachel Harmon studied engineering at MIT and graduate philosophy at LSE. “You could call it a random walk,” she says, “or you could say that I’m really interested in the structure of things.” But despite her experience and training, even she can’t identify a single point of leverage that can radically reform the complicated system of policing in America. “We have been struggling with balancing the harms and benefits of policing since we started contemporary departments, so I don’t think that we’re going to suddenly fix this by flipping one lever.”</p> <p class=""p1"">She joined Tyler to discuss the best ideas for improving policing, including why good data on policing is so hard to come by, why body cams are not a panacea, the benefits and costs of consolidating police departments, why more female cops won’t necessarily reduce the use of force, how federal programs can sometimes misfire, where changing police selection criteria would and wouldn’t help, whether some policing could be replaced by social workers, the sobering frequency of sexual assaults by police, how a national accreditation system might improve police conduct, what reformers can learn from Camden and elsewhere, and more. They close by discussing the future of law schools, what she learned clerking under Guido Calabresi and Stephen Breyer, why she’s drawn to kickboxing and triathlons, and what two things she looks for in a young legal scholar.</p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p2""><span class=""s2"">Email: <a href= ""mailto:cowenconvos@mercatus.gmu.edu""><span class= ""s3"">cowenconvos@mercatus.gmu.edu</span></a></span></p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/c/7/a/e/c7aec32378b0d37b/CWT-104-Harmon-libsyn-v2.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-104-RachelHarmon-v1.mp3?dest-id=850607,False
9,Ashley Mears on Status and Beauty,"<p class=""p1"">Ashley Mears is a former fashion model turned academic sociologist, and her book <a href= ""https://www.amazon.com/Very-Important-People-Status-Circuit-ebook/dp/B0824B49LS/ref=sr_1_3?keywords=ashley+mears&qid=1583330922&sr=8-3/marginalrevol-20%22%20%5Cl%20%22reader_B0824B49LS""> <span class=""s1""><em>Very Important People: Status and Beauty in the Global Party Circuit</em></span></a><em><span class= ""Apple-converted-space""> </span></em> is one of Tyler’s favorites of the year. The book, the result of eighteen months of field research, describes how young women exchange “bodily capital” for free drinks and access to glamorous events, boosting the status of the big-spending men they accompany.</p> <p class=""p1""> </p> <p class=""p1"">Ashley joined Tyler to discuss her book and experience as a model, including the economics of bottle service, which kinds of men seek the club experience (and which can’t get in), why Tyler is right to be suspicious of restaurants filled with beautiful women, why club music is so loud, the surprising reason party girls don’t want to be paid, what it’s like to be scouted, why fashion models don’t smile, the truths contained in <em>Zoolander</em>, how her own beauty and glamour have influenced her academic career, how Barbara Ehrenreich inspired her work, her unique tip for staying focused while writing, and more.</p> <p class=""p1""> </p> <p class=""p1"">Follow us on <a href= ""https://twitter.com/cowenconvos""><span class= ""s1"">Twitter</span></a> and <a href= ""https://www.instagram.com/cowenconvos/""><span class= ""s1"">IG</span></a>: @cowenconvos</p> <p class=""p1""> </p> <p class=""p2""><span class=""s2"">Email: <span class=""s3""><a href= ""mailto:cowenconvos@mercatus.gmu.edu"">cowenconvos@mercatus.gmu.edu</a></span></span></p> <p class=""p2""> </p> <p class=""p1"">Follow <a href= ""https://twitter.com/tylercowen""><span class=""s1"">Tyler</span></a> on Twitter</p> <p class=""p1""> </p> <p class=""p2""><span class=""s3""><a href= ""https://facebook.com/cowenconvos"">Facebook</a></span></p> <p class=""p2""> </p> <p class=""p2""><span class=""s3""><a href= ""https://mercatus.org/newsletters"">Newsletter</a></span></p>",https://ssl-static.libsyn.com/p/assets/0/5/7/c/057c90e4ac5a871d/CWT-100-Mears-libsyn-v2.jpg,https://traffic.libsyn.com/secure/cowenconvos/CWT-100-AshleyMears-podcast-v1.mp3?dest-id=850607,False
